Sample rate: 9400 Hz
Time(s),Amplitude
0.000000000000000000e+00,0.000000000000000000e+00
1.063829787234042544e-04,6.200000000000000000e+01
2.127659574468085087e-04,9.400000000000000000e+01
3.191489361702127495e-04,1.120000000000000000e+02
4.255319148936170174e-04,1.200000000000000000e+02
5.319148936170212854e-04,1.250000000000000000e+02
6.382978723404254991e-04,1.290000000000000000e+02
7.446808510638298212e-04,1.340000000000000000e+02
8.510638297872340349e-04,1.360000000000000000e+02
9.574468085106382486e-04,1.390000000000000000e+02
1.063829787234042571e-03,1.390000000000000000e+02
1.170212765957446893e-03,1.400000000000000000e+02
1.276595744680850998e-03,1.370000000000000000e+02
1.382978723404255320e-03,1.380000000000000000e+02
1.489361702127659642e-03,1.390000000000000000e+02
1.595744680851063748e-03,1.430000000000000000e+02
1.702127659574468070e-03,1.450000000000000000e+02
1.808510638297872392e-03,1.450000000000000000e+02
1.914893617021276497e-03,1.460000000000000000e+02
2.021276595744680819e-03,1.460000000000000000e+02
2.127659574468085141e-03,1.470000000000000000e+02
2.234042553191489464e-03,1.450000000000000000e+02
2.340425531914893786e-03,1.450000000000000000e+02
2.446808510638297674e-03,1.460000000000000000e+02
2.553191489361701996e-03,1.450000000000000000e+02
2.659574468085106318e-03,1.440000000000000000e+02
2.765957446808510641e-03,1.400000000000000000e+02
2.872340425531914963e-03,1.370000000000000000e+02
2.978723404255319285e-03,1.350000000000000000e+02
3.085106382978723607e-03,1.350000000000000000e+02
3.191489361702127495e-03,1.370000000000000000e+02
3.297872340425531817e-03,1.380000000000000000e+02
3.404255319148936140e-03,1.380000000000000000e+02
3.510638297872340462e-03,1.340000000000000000e+02
3.617021276595744784e-03,1.320000000000000000e+02
3.723404255319149106e-03,1.320000000000000000e+02
3.829787234042552994e-03,1.310000000000000000e+02
3.936170212765957750e-03,1.290000000000000000e+02
4.042553191489361639e-03,1.290000000000000000e+02
4.148936170212765527e-03,1.290000000000000000e+02
4.255319148936170283e-03,1.270000000000000000e+02
4.361702127659574171e-03,1.260000000000000000e+02
4.468085106382978927e-03,1.230000000000000000e+02
4.574468085106382816e-03,1.230000000000000000e+02
4.680851063829787571e-03,1.240000000000000000e+02
4.787234042553191460e-03,1.230000000000000000e+02
4.893617021276595348e-03,1.220000000000000000e+02
5.000000000000000104e-03,1.190000000000000000e+02
5.106382978723403993e-03,1.180000000000000000e+02
5.212765957446808748e-03,1.200000000000000000e+02
5.319148936170212637e-03,1.210000000000000000e+02
5.425531914893617393e-03,1.240000000000000000e+02
5.531914893617021281e-03,1.250000000000000000e+02
5.638297872340425169e-03,1.240000000000000000e+02
5.744680851063829925e-03,1.220000000000000000e+02
5.851063829787233814e-03,1.190000000000000000e+02
5.957446808510638570e-03,1.200000000000000000e+02
6.063829787234042458e-03,1.210000000000000000e+02
6.170212765957447214e-03,1.210000000000000000e+02
6.276595744680851102e-03,1.200000000000000000e+02
6.382978723404254991e-03,1.210000000000000000e+02
6.489361702127659746e-03,1.200000000000000000e+02
6.595744680851063635e-03,1.180000000000000000e+02
6.702127659574468391e-03,1.140000000000000000e+02
6.808510638297872279e-03,1.150000000000000000e+02
6.914893617021276168e-03,1.130000000000000000e+02
7.021276595744680923e-03,1.130000000000000000e+02
7.127659574468084812e-03,1.120000000000000000e+02
7.234042553191489568e-03,1.100000000000000000e+02
7.340425531914893456e-03,1.090000000000000000e+02
7.446808510638298212e-03,1.070000000000000000e+02
7.553191489361702100e-03,1.080000000000000000e+02
7.659574468085105989e-03,1.080000000000000000e+02
7.765957446808510745e-03,1.080000000000000000e+02
7.872340425531915500e-03,1.080000000000000000e+02
7.978723404255318521e-03,1.080000000000000000e+02
8.085106382978723277e-03,1.070000000000000000e+02
8.191489361702128033e-03,1.050000000000000000e+02
8.297872340425531054e-03,1.030000000000000000e+02
8.404255319148935810e-03,1.010000000000000000e+02
8.510638297872340566e-03,1.000000000000000000e+02
8.617021276595745322e-03,1.010000000000000000e+02
8.723404255319148343e-03,1.020000000000000000e+02
8.829787234042553098e-03,1.010000000000000000e+02
8.936170212765957854e-03,1.000000000000000000e+02
9.042553191489360875e-03,1.000000000000000000e+02
9.148936170212765631e-03,9.800000000000000000e+01
9.255319148936170387e-03,9.700000000000000000e+01
9.361702127659575143e-03,9.900000000000000000e+01
9.468085106382978164e-03,1.000000000000000000e+02
9.574468085106382920e-03,1.000000000000000000e+02
9.680851063829787675e-03,1.000000000000000000e+02
9.787234042553190697e-03,1.000000000000000000e+02
9.893617021276595452e-03,1.000000000000000000e+02
1.000000000000000021e-02,1.000000000000000000e+02
1.010638297872340496e-02,1.020000000000000000e+02
1.021276595744680799e-02,1.030000000000000000e+02
1.031914893617021274e-02,1.040000000000000000e+02
